"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1522","TC-GQL-N01: Query with an unknown field returns a GraphQL error","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryWithUnknownField"
"","45","TC-AUTH-002: Authentication with invalid credentials returns no token","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.auth.AuthTests","com.flamingo.qa.api.auth.AuthTests","createTokenWithInvalidCredentials"
"","131","TC-BOOK-002: Get booking by id returns the matching booking data","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingWithValidId"
"","113","TC-BOOK-003: Update booking with a valid token updates all fields","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","updateBookingWithValidTokenAndData"
"","159","TC-GQL-002: Query a single movie by id returns the matching movie","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMovieById"
"","90","TC-GQL-005: Query movies ordered by title returns results sorted ascending","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesOrderedByTitle"
"","145","TC-BOOK-006: Get booking ids without filters returns a non-empty list","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsWithoutFilters"
"","97","TC-GQL-003: Query movies with pagination returns a limited number of results","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesWithPagination"
"","44","TC-BOOK-N04: Create booking with a malformed JSON body returns a client error","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","createBookingWithMalformedJsonBody"
"","122","TC-BOOK-004: Partial update with a valid token only changes provided fields","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","partialUpdateBookingWithValidToken"
"","73","TC-GQL-001: Query movies returns a list with title and poster","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMovies"
